player_id,games_played,min_avg,fgm_avg,fga_avg,fg_pct,fg3m_avg,fg3a_avg,fg3_pct,ftm_avg,fta_avg,ft_pct,oreb_avg,dreb_avg,reb_avg,ast_avg,stl_avg,blk_avg,tov_avg,pf_avg,pts_avg,ast_tov_ratio,season
2544,70,34.957,9.3,18.143,0.511,2.129,5.657,0.349,3.7,4.729,0.751,1.029,6.771,7.8,8.214,1.0,0.557,3.714,1.414,24.429,2.212,2024-25
101108,82,27.939,3.037,7.11,0.433,1.707,4.524,0.387,1.037,1.122,0.483,0.402,3.207,3.61,7.378,1.256,0.268,1.573,1.841,8.817,4.69,2024-25
200768,35,18.886,1.171,3.343,0.264,0.829,2.514,0.246,0.771,0.943,0.257,0.314,1.6,1.914,2.743,0.943,0.314,0.6,1.771,3.943,4.571,2024-25
201142,62,36.581,9.548,18.129,0.535,2.581,6.0,0.466,4.887,5.823,0.807,0.371,5.661,6.032,4.242,0.806,1.242,3.065,1.677,26.565,1.384,2024-25
201143,60,27.667,3.25,7.683,0.411,1.9,5.233,0.34,0.567,0.633,0.254,1.317,4.833,6.15,2.133,0.6,0.85,0.767,1.35,8.967,2.783,2024-25
201144,71,24.732,2.634,6.592,0.39,1.789,4.366,0.409,1.141,1.268,0.407,0.451,2.113,2.563,4.493,1.113,0.197,1.056,1.563,8.197,4.253,2024-25
201145,32,12.406,1.906,3.781,0.474,0.906,2.469,0.326,0.656,0.812,0.23,0.344,1.469,1.812,0.625,0.188,0.125,0.281,1.0,5.375,2.222,2024-25
201566,75,27.92,4.973,11.08,0.454,1.253,3.88,0.292,2.053,3.107,0.526,1.36,3.573,4.933,6.093,1.413,0.493,3.227,2.507,13.253,1.888,2024-25
201567,23,10.913,1.783,5.0,0.277,1.043,2.913,0.248,0.696,1.0,0.239,0.957,3.13,4.087,0.957,0.652,0.174,0.609,0.913,5.304,1.571,2024-25
201569,39,19.692,2.231,5.231,0.376,1.436,3.513,0.339,0.923,1.231,0.36,0.205,0.974,1.179,1.667,0.667,0.308,0.718,0.821,6.821,2.321,2024-25
201572,80,31.825,4.925,9.675,0.508,1.738,4.662,0.357,1.425,1.725,0.533,1.412,3.6,5.012,1.788,0.625,1.85,1.05,2.138,13.012,1.702,2024-25
201587,78,17.487,1.333,3.051,0.371,1.128,2.603,0.371,0.218,0.269,0.115,0.603,2.192,2.795,1.077,0.667,0.462,0.436,1.423,4.013,2.471,2024-25
201599,56,12.304,1.625,2.5,0.584,0.0,0.0,0.0,0.482,1.143,0.154,1.5,3.571,5.071,0.946,0.286,0.482,0.714,1.321,3.732,1.325,2024-25
201935,79,35.316,6.722,16.392,0.41,2.975,8.456,0.345,6.392,7.316,0.86,0.696,5.076,5.772,8.696,1.494,0.696,4.316,2.051,22.81,2.015,2024-25
201939,70,32.129,8.057,17.971,0.445,4.443,11.2,0.392,3.986,4.271,0.842,0.571,3.857,4.429,6.014,1.143,0.429,2.857,1.357,24.543,2.105,2024-25
201942,77,35.935,8.104,16.987,0.479,1.091,3.325,0.3,4.909,5.727,0.834,0.649,3.221,3.87,4.442,0.805,0.416,1.364,1.948,22.208,3.257,2024-25
201949,12,3.083,0.333,0.917,0.181,0.0,0.25,0.0,0.0,0.083,0.0,0.0,0.5,0.5,0.333,0.0,0.167,0.333,0.417,0.667,1.0,2024-25
201950,62,30.661,4.097,9.242,0.439,1.742,4.935,0.321,1.129,1.242,0.392,1.226,3.048,4.274,3.855,1.065,0.435,1.242,1.629,11.065,3.104,2024-25
201959,37,11.027,1.27,2.568,0.439,0.027,0.054,0.014,0.324,0.541,0.16,1.378,1.865,3.243,0.568,0.243,0.486,0.676,1.459,2.892,0.84,2024-25
201988,29,11.069,1.241,3.31,0.291,0.897,2.586,0.267,0.448,0.483,0.19,0.138,0.621,0.759,0.897,0.448,0.103,0.586,0.828,3.828,1.529,2024-25
202066,28,8.071,0.643,2.143,0.148,0.214,1.0,0.11,0.393,0.429,0.17,0.321,0.714,1.036,1.107,0.607,0.071,0.357,0.821,1.893,3.1,2024-25
202331,41,32.561,5.976,13.902,0.421,2.341,6.537,0.345,1.927,2.366,0.565,0.585,4.756,5.341,4.341,1.829,0.488,2.585,2.463,16.22,1.679,2024-25
202681,50,36.02,8.94,18.9,0.477,2.88,7.18,0.373,3.92,4.28,0.847,1.2,3.6,4.8,4.62,1.32,0.46,2.22,2.02,24.68,2.081,2024-25
202684,40,8.2,0.775,1.775,0.311,0.0,0.075,0.0,0.175,0.75,0.073,0.8,2.55,3.35,0.6,0.05,0.275,0.35,0.9,1.725,1.714,2024-25
202685,81,18.79,4.259,7.741,0.554,0.099,0.457,0.074,1.79,2.037,0.682,2.346,5.395,7.741,2.025,0.457,0.568,1.481,2.235,10.407,1.367,2024-25
202691,72,27.389,5.014,12.181,0.403,3.0,7.681,0.368,0.931,1.028,0.37,0.611,2.806,3.417,2.014,0.694,0.417,1.222,1.125,13.958,1.648,2024-25
202692,49,17.653,2.347,5.531,0.385,1.796,4.224,0.356,0.776,1.0,0.307,0.306,2.224,2.531,1.122,0.571,0.143,0.592,0.755,7.265,1.897,2024-25
202693,15,11.0,1.4,4.667,0.29,0.6,2.4,0.276,0.333,0.4,0.167,0.2,1.333,1.533,1.4,0.133,0.2,0.333,1.067,3.733,4.2,2024-25
202695,37,31.838,8.378,16.838,0.497,2.108,5.135,0.39,2.649,3.27,0.712,0.946,4.973,5.919,3.135,1.595,0.459,1.946,1.514,21.514,1.611,2024-25
202696,73,31.151,7.534,14.219,0.536,1.767,4.397,0.394,1.644,2.041,0.527,2.438,7.63,10.068,3.507,0.836,0.712,1.63,2.233,18.479,2.151,2024-25
202699,73,31.603,5.26,11.027,0.475,1.247,3.616,0.301,1.959,2.274,0.607,0.89,5.027,5.918,2.219,1.014,0.781,1.164,1.89,13.726,1.906,2024-25
202704,31,12.419,1.677,4.29,0.346,0.806,2.387,0.263,0.226,0.29,0.129,0.258,1.097,1.355,1.452,0.516,0.097,0.548,1.097,4.387,2.647,2024-25
202709,50,12.2,1.24,3.08,0.355,0.78,2.14,0.293,0.28,0.36,0.136,0.34,1.14,1.48,1.44,0.52,0.08,0.36,1.0,3.54,4.0,2024-25
202710,55,31.764,5.473,10.855,0.5,0.582,1.891,0.289,6.0,7.127,0.793,2.273,3.109,5.382,5.418,1.4,0.327,1.345,0.945,17.527,4.027,2024-25
203076,51,33.412,9.216,17.843,0.509,0.686,2.431,0.233,5.608,7.235,0.707,2.627,8.941,11.569,3.549,1.157,2.157,2.216,1.922,24.725,1.602,2024-25
203078,53,32.038,6.509,13.094,0.481,1.925,4.981,0.365,2.075,2.585,0.532,0.642,2.698,3.34,3.679,1.094,0.528,1.868,2.566,17.019,1.97,2024-25
203081,58,36.103,7.655,17.103,0.44,3.397,9.034,0.37,6.241,6.776,0.906,0.5,4.19,4.69,7.069,1.207,0.172,2.793,1.672,24.948,2.531,2024-25
203083,40,18.725,2.925,5.85,0.497,0.075,0.5,0.05,1.4,2.25,0.473,2.725,5.025,7.75,0.85,0.975,0.45,1.375,2.35,7.325,0.618,2024-25
203084,82,27.195,4.232,8.329,0.483,1.902,4.39,0.403,1.963,2.427,0.578,1.183,2.598,3.78,1.659,0.476,0.171,0.61,0.915,12.329,2.72,2024-25
203109,9,11.556,0.778,2.444,0.185,0.444,1.667,0.194,0.556,0.667,0.093,0.667,1.556,2.222,0.667,0.333,0.0,0.444,1.111,2.556,1.5,2024-25
203110,68,29.132,3.176,7.485,0.408,1.176,3.618,0.28,1.485,2.162,0.488,1.088,5.0,6.088,5.632,1.456,1.029,2.559,3.221,9.015,2.201,2024-25
203114,37,22.892,4.324,9.108,0.441,1.297,3.595,0.305,1.946,2.27,0.559,0.351,3.351,3.703,4.054,0.946,0.216,1.514,2.027,11.892,2.679,2024-25
203458,46,8.196,0.696,1.37,0.324,0.043,0.196,0.033,0.174,0.37,0.078,0.826,1.239,2.065,0.826,0.196,0.457,0.435,1.217,1.609,1.9,2024-25
203468,56,32.75,7.929,17.857,0.426,3.054,8.196,0.338,2.214,3.089,0.63,0.75,3.036,3.786,4.054,0.821,0.429,1.893,2.214,21.125,2.142,2024-25
203471,75,28.107,4.48,11.027,0.399,1.693,4.947,0.321,2.413,2.88,0.623,0.36,2.28,2.64,5.387,0.88,0.16,1.893,2.4,13.067,2.845,2024-25
203482,44,20.295,3.045,6.091,0.496,0.75,1.795,0.347,1.886,2.455,0.49,1.409,3.273,4.682,2.909,0.75,0.432,1.727,2.795,8.727,1.684,2024-25
203484,77,29.584,3.104,7.065,0.415,1.468,4.286,0.312,1.065,1.234,0.473,0.429,1.766,2.195,1.766,1.286,0.442,0.805,1.766,8.74,2.194,2024-25
203486,74,17.568,1.689,2.73,0.544,0.0,0.054,0.0,1.122,1.73,0.366,1.568,4.581,6.149,1.811,0.446,0.635,0.797,2.081,4.5,2.271,2024-25
203497,72,33.222,4.736,7.083,0.674,0.0,0.0,0.0,2.556,3.792,0.587,3.681,7.222,10.903,1.764,0.778,1.444,1.236,2.528,12.028,1.427,2024-25
203500,58,13.672,1.569,2.879,0.482,0.0,0.034,0.0,0.741,1.603,0.244,2.862,2.776,5.638,1.138,0.379,0.483,0.931,1.034,3.879,1.222,2024-25
203501,77,27.948,3.584,8.831,0.393,2.182,5.935,0.343,1.61,1.883,0.522,0.234,2.143,2.377,1.597,0.494,0.091,0.623,1.247,10.961,2.562,2024-25
203507,67,34.194,11.836,19.687,0.607,0.209,0.94,0.104,6.507,10.552,0.582,2.194,9.716,11.91,6.463,0.866,1.164,3.075,2.313,30.388,2.102,2024-25
203552,68,15.574,2.412,5.044,0.382,1.221,2.676,0.342,0.485,0.574,0.257,0.353,1.309,1.662,0.882,0.397,0.103,0.471,0.868,6.529,1.875,2024-25
203897,74,35.27,8.446,16.527,0.501,3.23,7.243,0.431,3.176,3.851,0.727,0.297,3.959,4.257,4.189,0.784,0.162,2.811,1.635,23.297,1.49,2024-25
203901,24,21.25,1.667,5.083,0.252,0.042,0.25,0.042,0.167,0.292,0.052,0.625,2.667,3.292,6.917,1.0,0.458,2.458,1.5,3.542,2.814,2024-25
203903,37,26.081,5.432,13.324,0.399,2.27,6.27,0.333,3.081,3.865,0.696,0.676,2.514,3.189,3.73,0.838,0.243,2.324,1.405,16.216,1.605,2024-25
203914,48,14.771,1.062,2.771,0.306,0.75,2.104,0.255,0.146,0.25,0.059,0.417,0.917,1.333,0.625,0.542,0.25,0.354,0.938,3.021,1.765,2024-25
203915,79,27.0,3.595,8.633,0.409,1.38,4.127,0.346,2.468,3.076,0.574,0.228,2.418,2.646,4.418,0.886,0.215,1.291,1.532,11.038,3.422,2024-25
203924,47,32.447,4.553,12.213,0.369,2.298,6.298,0.362,3.0,3.532,0.611,0.553,2.915,3.468,2.149,0.872,0.979,1.383,2.319,14.404,1.554,2024-25
203926,42,8.167,1.19,2.786,0.268,1.048,2.405,0.276,0.071,0.119,0.028,0.071,0.452,0.524,0.167,0.095,0.048,0.143,0.714,3.5,1.167,2024-25
203932,51,28.373,5.176,9.745,0.523,1.471,3.373,0.425,2.843,3.51,0.672,1.569,3.275,4.843,3.216,0.451,0.275,1.431,1.608,14.667,2.247,2024-25
203935,34,20.0,2.971,7.559,0.387,1.441,4.147,0.322,1.588,2.088,0.45,0.529,1.588,2.118,3.206,1.147,0.265,1.588,1.559,8.971,2.019,2024-25
203937,61,16.475,2.328,4.967,0.466,0.41,1.148,0.219,0.787,1.066,0.272,0.869,2.508,3.377,2.377,0.656,0.541,0.607,1.328,5.852,3.919,2024-25
203939,55,10.036,0.764,1.109,0.358,0.036,0.091,0.027,0.509,0.782,0.22,0.855,1.291,2.145,1.0,0.327,0.382,0.327,1.364,2.073,3.056,2024-25
203944,69,32.275,6.594,13.609,0.479,1.565,4.551,0.304,3.913,4.855,0.72,2.087,4.971,7.058,4.681,0.681,0.232,2.841,2.536,18.667,1.648,2024-25
203952,60,30.683,6.267,13.983,0.436,2.167,5.8,0.358,3.267,4.283,0.688,1.483,3.0,4.483,2.633,1.0,0.833,1.65,1.683,17.967,1.596,2024-25
203954,19,30.211,7.368,16.579,0.425,1.211,4.053,0.332,7.842,8.895,0.839,1.895,6.263,8.158,4.474,0.737,0.947,3.263,2.211,23.789,1.371,2024-25
203957,20,18.6,3.2,6.7,0.462,1.15,2.65,0.377,1.15,1.55,0.412,0.2,1.45,1.65,2.8,0.6,0.15,1.1,1.7,8.7,2.545,2024-25
203967,16,13.188,1.312,3.625,0.3,0.438,1.625,0.116,0.438,0.625,0.188,0.875,2.25,3.125,1.438,0.438,0.062,0.938,1.188,3.5,1.533,2024-25
203991,55,21.491,3.964,7.091,0.566,0.0,0.018,0.0,0.945,1.764,0.348,3.164,5.364,8.527,1.127,0.618,0.964,0.855,1.927,8.873,1.319,2024-25
203992,54,24.926,3.889,9.111,0.436,1.944,5.352,0.399,1.074,1.222,0.424,0.444,2.5,2.944,2.704,0.759,0.204,1.37,2.352,10.796,1.973,2024-25
203994,51,20.824,3.294,6.902,0.463,0.627,2.059,0.252,1.667,2.51,0.534,1.667,6.137,7.804,2.255,0.784,0.667,1.902,2.549,8.882,1.186,2024-25
203995,41,19.171,2.317,6.659,0.293,1.098,3.049,0.27,0.829,1.0,0.32,0.488,1.683,2.171,3.122,0.366,0.0,1.878,1.098,6.561,1.662,2024-25
203999,70,36.786,11.229,19.486,0.585,1.971,4.729,0.428,5.157,6.443,0.762,2.857,9.886,12.743,10.229,1.814,0.643,3.286,2.286,29.586,3.113,2024-25
204001,42,28.762,6.595,13.667,0.487,2.452,5.952,0.418,3.833,4.738,0.746,1.619,5.143,6.762,2.071,0.738,1.5,1.262,2.762,19.476,1.642,2024-25
204060,19,6.0,0.316,1.211,0.061,0.158,0.789,0.048,0.0,0.0,0.0,0.105,0.474,0.579,1.211,0.105,0.0,0.474,0.632,0.789,2.556,2024-25
204456,79,17.937,4.101,7.899,0.51,0.19,0.62,0.136,0.722,0.975,0.241,0.557,1.886,2.443,4.443,1.051,0.266,1.38,1.0,9.114,3.22,2024-25
1626145,81,26.815,3.778,8.432,0.431,2.049,4.951,0.387,0.63,0.704,0.263,0.494,1.926,2.42,5.296,0.852,0.099,1.123,0.778,10.235,4.714,2024-25
1626153,40,15.875,1.125,3.275,0.253,0.5,1.825,0.194,0.375,0.625,0.138,0.675,0.975,1.65,1.925,0.875,0.3,0.55,0.625,3.125,3.5,2024-25
1626156,58,25.5,4.293,11.0,0.37,1.948,6.207,0.303,2.086,2.5,0.583,0.345,2.448,2.793,5.121,0.966,0.397,1.862,1.983,12.621,2.75,2024-25
1626157,72,34.972,8.875,16.875,0.521,1.972,4.694,0.417,4.708,5.681,0.832,2.944,9.833,12.778,3.083,0.986,0.694,2.667,3.458,24.431,1.156,2024-25
1626158,31,17.226,2.903,4.484,0.599,0.0,0.097,0.0,1.613,1.935,0.562,2.0,3.71,5.71,1.355,0.29,0.742,0.677,1.581,7.419,2.0,2024-25
1626162,60,34.717,5.8,12.35,0.47,1.183,4.033,0.261,2.317,3.083,0.559,1.617,4.517,6.133,1.8,1.533,0.5,1.333,3.0,15.1,1.35,2024-25
1626164,75,37.267,8.72,18.933,0.453,2.44,7.347,0.299,5.76,6.44,0.885,1.013,3.053,4.067,7.053,0.893,0.213,2.933,2.64,25.64,2.405,2024-25
1626166,72,15.125,2.486,6.194,0.364,1.292,3.556,0.304,0.681,0.75,0.269,0.194,1.25,1.444,2.819,0.542,0.222,0.722,1.542,6.944,3.904,2024-25
1626167,72,30.194,5.417,11.264,0.482,2.167,5.472,0.369,2.556,3.306,0.641,1.25,5.292,6.542,1.542,0.75,2.0,1.708,2.542,15.556,0.902,2024-25
1626168,69,19.551,2.275,5.42,0.411,1.174,3.449,0.319,0.812,1.159,0.33,1.159,3.42,4.58,1.188,0.594,0.333,0.565,1.246,6.536,2.103,2024-25
1626171,49,25.367,5.653,12.143,0.465,1.327,3.633,0.329,1.245,1.49,0.513,1.837,6.551,8.388,2.122,0.714,0.531,1.163,1.918,13.878,1.825,2024-25
1626172,76,15.066,1.882,3.658,0.511,0.026,0.066,0.026,0.737,1.303,0.286,2.434,3.645,6.079,1.553,0.605,0.487,0.513,2.026,4.526,3.026,2024-25
1626179,64,25.859,3.875,9.922,0.369,1.422,4.812,0.261,1.438,1.688,0.505,0.688,3.031,3.719,2.609,0.578,0.219,1.219,1.141,10.609,2.141,2024-25
1626181,60,32.65,7.617,15.75,0.48,2.983,7.133,0.422,3.55,4.417,0.72,0.35,2.817,3.167,2.083,1.217,0.15,1.8,1.9,21.767,1.157,2024-25
1626192,41,14.78,2.024,4.317,0.434,0.634,1.976,0.273,0.585,0.756,0.217,0.463,2.195,2.659,1.707,0.22,0.268,0.585,1.098,5.268,2.917,2024-25
1626196,8,18.625,1.375,4.75,0.252,0.75,2.75,0.279,0.5,0.5,0.25,0.75,0.75,1.5,1.5,1.0,0.125,1.0,2.125,4.0,1.5,2024-25
1626204,24,19.292,3.333,6.458,0.475,1.417,3.167,0.342,0.375,0.542,0.188,0.958,3.333,4.292,1.583,0.833,0.542,0.667,1.542,8.458,2.375,2024-25
1626220,75,24.56,3.213,7.6,0.41,2.387,5.88,0.394,0.253,0.347,0.123,0.707,3.947,4.653,2.173,0.893,0.453,0.867,2.013,9.067,2.508,2024-25
1627732,51,21.941,2.275,4.373,0.461,0.0,0.0,0.0,0.471,0.647,0.149,0.922,3.804,4.725,5.588,0.745,0.451,2.0,2.098,5.02,2.794,2024-25
1627734,70,34.686,7.529,12.757,0.592,0.929,2.229,0.364,3.114,4.129,0.675,3.814,10.071,13.886,6.043,0.686,0.371,2.886,3.271,19.1,2.094,2024-25
1627736,82,27.866,5.622,13.061,0.428,3.89,9.341,0.412,1.159,1.707,0.409,0.573,2.037,2.61,1.695,0.89,0.061,1.012,1.524,16.293,1.675,2024-25
1627739,74,24.122,2.595,5.905,0.449,1.014,3.027,0.359,0.203,0.297,0.099,0.716,2.676,3.392,2.838,1.73,0.365,1.0,2.662,6.405,2.838,2024-25
1627741,82,22.768,4.0,9.585,0.392,2.476,6.695,0.343,0.646,0.78,0.301,0.622,2.598,3.22,1.634,0.841,0.28,1.11,1.61,11.122,1.473,2024-25
1627742,18,33.0,8.611,18.5,0.454,2.389,6.389,0.379,2.611,3.056,0.729,0.944,4.611,5.556,5.167,0.889,0.611,3.833,2.5,22.222,1.348,2024-25
1627747,64,24.875,4.375,9.359,0.441,1.656,4.438,0.35,1.719,2.422,0.522,0.641,2.531,3.172,3.359,0.891,0.516,1.188,1.547,12.125,2.829,2024-25
1627749,31,32.645,6.258,15.935,0.391,1.677,5.613,0.277,3.29,4.0,0.762,0.548,5.903,6.452,7.355,2.032,0.387,3.419,1.968,17.484,2.151,2024-25
1627750,67,36.134,7.925,16.731,0.467,2.328,5.925,0.365,3.254,3.672,0.797,0.672,3.224,3.896,6.015,1.358,0.493,2.06,1.91,21.433,2.92,2024-25
1627751,57,29.596,6.368,10.158,0.612,0.018,0.053,0.018,1.702,2.526,0.49,3.316,6.281,9.596,2.772,1.158,1.246,1.947,3.088,14.456,1.423,2024-25
1627752,80,27.112,2.938,6.425,0.443,1.838,4.188,0.427,0.488,0.6,0.244,0.425,3.162,3.588,1.938,0.95,0.188,1.025,2.062,8.2,1.89,2024-25
1627759,63,34.286,8.222,17.746,0.466,1.841,5.683,0.318,3.905,5.111,0.692,1.302,4.54,5.841,4.54,1.159,0.302,2.571,2.444,22.19,1.765,2024-25
1627763,24,23.542,4.333,10.0,0.409,0.667,2.333,0.244,3.375,3.833,0.757,0.875,2.917,3.792,4.083,0.542,0.208,1.583,1.25,12.708,2.579,2024-25
1627777,79,21.468,3.62,7.848,0.461,2.101,5.177,0.4,0.582,0.734,0.267,0.595,2.848,3.443,1.405,0.354,0.177,1.038,2.544,9.924,1.354,2024-25
1627780,62,14.887,2.758,4.806,0.543,0.5,1.532,0.198,0.435,0.613,0.206,0.855,2.129,2.984,1.339,0.839,0.274,0.629,1.742,6.452,2.128,2024-25
1627783,78,32.731,7.859,15.154,0.517,1.615,4.154,0.374,2.897,3.949,0.706,1.705,5.218,6.923,3.372,0.897,0.538,1.397,2.423,20.231,2.413,2024-25
1627814,25,5.88,1.08,2.96,0.338,0.36,1.48,0.2,0.8,0.84,0.35,0.12,0.68,0.8,0.44,0.24,0.0,0.4,0.24,3.32,1.1,2024-25
1627824,70,27.043,4.029,8.043,0.464,1.486,3.914,0.305,1.429,1.971,0.497,1.914,3.729,5.643,2.114,0.829,0.343,1.243,2.343,10.971,1.701,2024-25
1627826,80,32.788,7.4,11.775,0.623,0.0,0.0,0.0,1.95,2.95,0.543,3.75,8.875,12.625,2.675,0.688,1.125,1.588,2.1,16.75,1.685,2024-25
1627827,63,28.873,3.095,6.905,0.436,2.048,4.984,0.376,0.476,0.714,0.176,1.27,2.651,3.921,1.429,0.921,0.365,0.889,2.159,8.714,1.607,2024-25
1627832,60,35.217,4.783,12.65,0.362,2.65,7.683,0.33,1.85,2.283,0.524,0.533,3.15,3.683,5.55,1.567,0.417,1.45,2.333,14.067,3.828,2024-25
1627884,77,24.338,4.026,7.649,0.538,1.013,2.844,0.333,1.078,1.532,0.435,1.208,2.208,3.416,0.779,1.026,0.429,0.857,1.987,10.143,0.909,2024-25
1627936,54,19.259,2.593,5.815,0.409,1.111,3.148,0.336,0.778,0.944,0.315,0.704,2.241,2.944,2.537,1.611,0.556,0.685,1.889,7.074,3.703,2024-25
1628366,35,22.143,2.543,6.943,0.389,1.914,5.571,0.354,0.629,0.771,0.212,0.714,2.657,3.371,3.286,1.343,0.486,1.171,1.571,7.629,2.805,2024-25
1628368,62,36.161,8.694,18.758,0.462,1.903,6.145,0.319,4.242,5.129,0.744,0.871,3.935,4.806,6.323,1.468,0.403,2.806,2.645,23.532,2.253,2024-25
1628369,72,36.431,9.194,20.347,0.447,3.472,10.111,0.341,4.972,6.111,0.833,0.667,7.986,8.653,5.986,1.056,0.528,2.903,2.181,26.833,2.062,2024-25
1628370,65,31.6,6.338,14.446,0.434,2.138,6.585,0.295,2.369,2.738,0.662,0.462,3.308,3.769,5.569,0.938,0.585,2.446,2.431,17.185,2.277,2024-25
1628371,71,15.338,1.887,4.563,0.393,0.549,2.127,0.195,1.028,1.507,0.385,1.69,2.732,4.423,0.563,0.859,1.127,0.465,1.268,5.352,1.212,2024-25
1628374,47,31.383,6.298,14.894,0.431,2.936,8.489,0.346,3.447,3.936,0.743,1.532,4.383,5.915,1.489,0.702,0.362,1.404,1.681,18.979,1.061,2024-25
1628378,71,31.408,8.239,18.592,0.443,3.282,8.915,0.356,4.197,5.099,0.749,0.803,3.732,4.535,4.986,1.338,0.239,2.099,1.972,23.958,2.376,2024-25
1628379,65,22.631,3.169,6.631,0.417,1.738,4.015,0.362,0.785,0.877,0.337,0.569,2.246,2.815,3.308,0.769,0.077,1.108,0.908,8.862,2.986,2024-25
1628380,64,15.328,2.391,4.719,0.47,0.5,1.656,0.248,1.078,1.219,0.327,1.594,2.906,4.5,1.734,0.453,0.453,0.938,2.062,6.359,1.85,2024-25
1628381,40,30.5,7.0,13.275,0.538,1.475,3.7,0.381,3.475,4.1,0.894,2.225,5.95,8.175,2.0,0.975,1.0,2.575,2.9,18.95,0.777,2024-25
1628384,74,36.568,6.608,13.878,0.465,2.311,6.216,0.361,2.473,3.054,0.632,1.311,3.527,4.838,2.216,1.486,0.878,1.378,2.324,18.0,1.608,2024-25
1628386,82,27.988,5.512,7.805,0.697,0.0,0.061,0.0,2.427,3.378,0.582,2.634,7.098,9.732,1.927,0.939,0.89,1.183,1.549,13.451,1.629,2024-25
1628389,78,34.346,6.923,14.269,0.478,1.013,2.833,0.308,3.218,4.205,0.693,2.372,7.231,9.603,4.321,1.256,0.679,2.064,2.077,18.077,2.093,2024-25
1628392,57,27.877,4.895,8.421,0.583,0.0,0.333,0.0,1.386,2.053,0.427,2.86,7.86,10.719,3.842,0.825,1.088,1.684,3.0,11.175,2.281,2024-25
1628398,65,29.785,5.692,13.046,0.438,1.477,4.815,0.254,1.969,3.108,0.461,0.831,4.862,5.692,2.338,0.554,0.292,2.246,1.831,14.831,1.041,2024-25
1628401,76,33.829,5.579,12.618,0.442,3.487,9.092,0.386,1.776,2.118,0.623,0.882,3.605,4.487,4.75,0.947,1.053,1.724,1.816,16.421,2.756,2024-25
1628404,77,37.61,5.247,10.0,0.527,1.091,3.273,0.313,2.065,2.662,0.565,2.091,7.481,9.571,5.883,1.545,0.351,2.052,2.61,13.649,2.867,2024-25
1628408,9,4.0,0.222,0.333,0.222,0.222,0.333,0.222,0.111,0.667,0.056,0.111,0.444,0.556,0.556,0.111,0.0,0.111,0.333,0.778,5.0,2024-25
1628415,75,31.84,5.12,11.933,0.423,2.48,6.253,0.388,1.32,1.613,0.451,1.0,2.667,3.667,1.707,0.8,0.213,1.013,3.227,14.04,1.684,2024-25
1628418,66,14.591,2.47,4.864,0.462,0.727,2.242,0.297,0.833,0.97,0.438,1.258,2.545,3.803,0.803,0.424,0.621,0.455,1.152,6.5,1.767,2024-25
1628420,45,12.711,1.844,4.333,0.389,0.689,1.911,0.264,0.8,0.933,0.289,0.267,1.222,1.489,1.622,0.444,0.067,0.467,0.511,5.178,3.476,2024-25
1628427,13,10.385,0.769,2.0,0.219,0.308,1.154,0.141,0.0,0.0,0.0,0.462,2.0,2.462,0.692,0.231,0.154,0.846,0.769,1.846,0.818,2024-25
1628436,73,18.685,2.562,3.836,0.564,0.0,0.041,0.0,0.918,1.329,0.333,2.603,2.712,5.315,1.603,0.493,0.973,0.425,1.63,6.041,3.774,2024-25
1628449,50,17.28,3.64,7.4,0.46,1.4,3.86,0.305,1.36,1.74,0.402,1.4,3.08,4.48,0.66,0.48,0.5,0.58,1.36,10.04,1.138,2024-25
1628464,37,16.324,1.649,3.405,0.414,0.243,0.973,0.171,0.784,0.946,0.299,1.162,3.135,4.297,1.595,0.459,0.486,0.676,1.811,4.324,2.36,2024-25
1628467,34,18.735,1.088,2.824,0.322,0.382,1.441,0.213,0.471,0.618,0.191,0.735,2.059,2.794,1.265,0.265,0.5,0.676,1.941,3.029,1.87,2024-25
1628470,26,12.0,1.462,3.462,0.312,0.923,2.538,0.272,0.308,0.462,0.154,1.038,1.769,2.808,0.654,0.308,0.462,0.308,1.308,4.154,2.125,2024-25
1628960,64,24.125,3.422,7.641,0.454,2.328,5.469,0.428,1.453,1.781,0.468,0.531,2.5,3.031,2.141,0.844,0.297,1.172,1.484,10.625,1.827,2024-25
1628963,31,8.645,1.774,3.419,0.38,0.097,0.613,0.038,0.742,1.129,0.266,1.226,1.484,2.71,0.355,0.29,0.258,0.387,0.581,4.387,0.917,2024-25
1628964,32,12.938,1.625,3.5,0.462,0.469,1.688,0.222,0.594,0.844,0.294,1.0,3.531,4.531,0.562,0.281,0.969,0.625,1.75,4.312,0.9,2024-25
1628969,82,37.073,7.22,14.427,0.489,2.0,5.646,0.325,1.171,1.439,0.421,0.866,2.293,3.159,3.732,0.915,0.524,1.61,1.549,17.61,2.318,2024-25
1628970,64,31.703,7.328,17.016,0.427,2.203,7.031,0.312,3.453,3.969,0.774,1.125,6.391,7.516,3.875,0.688,0.703,2.125,1.453,20.312,1.824,2024-25
1628971,41,22.439,3.171,7.537,0.357,0.659,1.976,0.233,1.293,1.585,0.557,0.976,3.024,4.0,2.049,0.829,0.244,0.951,1.732,8.293,2.154,2024-25
1628973,65,35.4,9.0,18.462,0.484,2.338,6.108,0.352,5.662,6.892,0.779,0.415,2.462,2.877,7.308,0.923,0.123,2.523,2.123,26.0,2.896,2024-25
1628975,36,8.917,1.528,4.056,0.339,0.972,2.917,0.225,0.222,0.278,0.111,0.111,0.972,1.083,1.111,0.361,0.083,0.306,0.417,4.25,3.636,2024-25
